phrase;opinion_value;standard_deviation;standard_error;phrase_type;manual_correction
schnell anwendbar;0.973;0.113;0.043;a;
schnell arbeitend;0.973;0.113;0.043;a;
schnell aufgeklärt;0.594;0.195;0.069;a;
schnell ausführen;0.906;0.195;0.056;a;
schnell automatisch;0.938;0.165;0.074;a;
schnell begeistert;0.979;0.100;0.026;a;
schnell begreifbar;1.000;0.000;0.000;a;
schnell beliebt;1.000;0.000;0.000;a;
schnell beseitigt;0.912;0.190;0.038;a;
schnell bezahlt;1.000;0.000;0.000;a;
schnell defekt;-0.889;0.208;0.049;a;
schnell deinstalliert;1.000;0.000;0.000;a;
schnell durcharbeiten;0.958;0.138;0.056;a;
schnell eigen;0.000;0.000;0.000;a;m
schnell einleben;0.938;0.165;0.074;a;
schnell einsatzfähig;0.958;0.138;0.040;a;
schnell einstecken;1.000;0.000;0.000;a;
schnell entwickelnd;0.500;0.000;0.000;a;
schnell fasziniert;0.938;0.165;0.074;a;
schnell Fehler;-0.400;0.000;0.000;n;m
schnell geben;0.400;0.000;0.000;a;m
schnell gefallen;0.958;0.138;0.033;a;
schnell gehandelt;1.000;0.000;0.000;a;
schnell gelaufen;1.000;0.000;0.000;a;
schnell geliefert;0.769;0.317;0.088;a;
schnell geöffnet;0.924;0.180;0.042;a;
schnell gereinigt;0.979;0.100;0.018;a;
schnell geschickt;0.906;0.195;0.069;a;
schnell gesungen;0.542;0.138;0.056;a;
schnell getan;0.973;0.113;0.030;a;
schnell getrocknet;0.938;0.165;0.074;a;
schnell glatt;0.943;0.158;0.035;a;
schnell griffbereit;0.927;0.177;0.037;a;
schnell herausfindet;0.993;0.059;0.020;a;
schnell Hilfe;0.950;0.150;0.047;n;
schnell hochfährt;1.000;0.000;0.000;a;
schnell im Zugriff;1.000;0.000;0.000;n;
schnell installier;0.949;0.152;0.046;a;
schnell kaputt;-0.694;0.434;0.078;a;
schnell langweilig;-0.400;0.000;0.000;a;m
schnell läuft;1.000;0.000;0.000;a;
schnell leicht;1.000;0.000;0.000;a;
schnell nachvollziehbar;0.906;0.195;0.056;a;
schnell positiv;0.973;0.113;0.043;a;
schnell reinigen;0.917;0.186;0.034;a;
schnell relativiert;0.986;0.117;0.039;a;
schnell richtig;0.938;0.165;0.074;a;
schnell sauber;0.912;0.191;0.035;a;
schnell sehr gut;0.984;0.087;0.031;a;
schnell süchtig;1.000;0.000;0.000;a;
schnell toll;0.973;0.113;0.043;a;
schnell übersetzt;1.000;0.000;0.000;a;
schnell übertragen;1.000;0.000;0.000;a;
schnell überzeugt;0.941;0.162;0.025;a;
schnell unkompliziert;0.938;0.165;0.052;a;
schnell verfügbar;0.951;0.149;0.028;a;
schnell versandt;0.943;0.159;0.023;a;
schnell vorbereiten;0.958;0.138;0.056;a;
schnell wieder sauber;1.000;0.000;0.000;a;
schnell zubereiten;0.917;0.186;0.020;a;
schnell zugeschickt;1.000;0.000;0.000;a;
schnell zustellen;0.949;0.152;0.046;a;
schnell zuverlässig;0.973;0.113;0.043;a;
schnellsten;0.886;0.258;0.055;a;
schnörkellose Spannung;0.938;0.165;0.074;n;
schnurlos;0.000;0.000;0.000;a;m
Schock;-0.400;0.000;0.000;n;m
schockierend;-0.400;0.000;0.000;a;m
schockierend gut;0.650;0.450;0.142;a;
schön;0.696;0.417;0.006;a;
schon Appetit;1.000;0.000;0.000;n;
schon aufregend;0.938;0.165;0.074;a;
schön aufregend;1.000;0.000;0.000;a;
schon ausführlich berichten;0.906;0.195;0.069;a;
schon ausführlich geschehen;1.000;0.000;0.000;a;
schon ausgiebig getestet;0.958;0.138;0.040;a;
schon auswendig;0.942;0.182;0.019;a;
schon beängstigend;-0.400;0.000;0.000;a;m
schon begeistert;0.955;0.143;0.009;a;
schön Beleuchtung;0.938;0.165;0.074;n;
schön Bereicherung;0.938;0.165;0.052;n;
schon besonder;1.000;0.000;0.000;a;
schon besser;-0.120;0.403;0.032;a;
schon betagt;0.000;0.000;0.000;a;m
schon betriebsbereit;0.993;0.059;0.020;a;
schon betriebsbereit vorinstalliert;1.000;0.000;0.000;a;
schon bombastisch;0.958;0.138;0.056;a;
schön breit;0.938;0.165;0.033;a;
schon defekt;-0.703;0.392;0.069;a;
schon defekt geliefert;-1.000;0.000;0.000;a;
schon definitiv;0.000;0.000;0.000;a;m
schön dicht;0.938;0.165;0.043;a;
schon echt genial;0.958;0.138;0.056;a;
schon echt super;1.000;0.000;0.000;a;
schon eingebaut;0.938;0.165;0.074;a;
schon einmalig;0.945;0.156;0.039;a;
schon einsatzbereit;0.929;0.175;0.047;a;
schön ekelig;0.938;0.165;0.074;a;
schön eng;0.979;0.100;0.026;a;
schon erstklassig;1.000;0.000;0.000;a;
schon etwas angestaubt;0.000;0.000;0.000;a;m
schon etwas Angst;-0.400;0.000;0.000;n;m
schon etwas anspruchsvoll;0.500;0.164;0.062;a;
schon etwas besonder;1.000;0.000;0.000;a;
schon etwas eng;0.400;0.000;0.000;a;m
schon etwas heiß;0.400;0.000;0.000;a;m
schon etwas schnell;0.400;0.000;0.000;a;m
schon extrem gut;0.938;0.165;0.043;a;
schon extrem langweilig;-0.938;0.165;0.074;a;
schön farbenfroh;0.958;0.138;0.056;a;
schon fast durch;0.969;0.174;0.062;a;
schon fast erschreckend;0.000;0.000;0.000;a;m
schon fast fertig;0.989;0.073;0.018;a;
schon fast fotorealistisch;1.000;0.000;0.000;a;
schon fast legendär;0.500;0.000;0.000;a;
schon fast nostalgisch;1.000;0.000;0.000;a;
schon fast schade;0.000;0.000;0.000;a;m
schon fast Spaß;0.400;0.000;0.000;n;m
schon fast unheimlich;0.000;0.000;0.000;a;m
schon fast unverzichtbar;0.562;0.165;0.074;a;
schon fast voll;0.000;0.000;0.000;a;m
schon fast zu schade;0.993;0.059;0.020;a;
schon fast zwangsläufig;0.400;0.000;0.000;a;m
schon fasziniert;0.966;0.125;0.035;a;
schön fest;0.902;0.199;0.034;a;
schön fit;0.958;0.138;0.056;a;
schon fleißig;0.932;0.172;0.026;a;
schön flexibel;0.984;0.087;0.031;a;
schön fließend;0.938;0.165;0.074;a;
schön flott;0.984;0.087;0.031;a;
schön frei;0.958;0.138;0.056;a;
schon freue;0.924;0.180;0.060;a;
schön frisch;0.958;0.138;0.040;a;
schon gehobener;0.438;0.165;0.074;a;
schon genial;0.949;0.151;0.012;a;
schön gepolstert;1.000;0.000;0.000;a;
schön Geschenk;0.825;0.271;0.025;n;
schön geschmeidig;1.000;0.000;0.000;a;
schon gespannt;0.966;0.126;0.011;a;
schon gigantisch;0.949;0.152;0.046;a;
schön glänzend;0.979;0.100;0.026;a;
schön gleichmäßig;0.932;0.171;0.035;a;
schon grob;0.400;0.000;0.000;a;m
schon gut;0.583;0.449;0.092;a;
schon gut aufpassen;0.400;0.000;0.000;a;m
schon Hammer;0.969;0.174;0.062;n;
schön harmonisch;1.000;0.000;0.000;a;
schön heftig;0.914;0.188;0.031;a;
schon heimlich;1.000;0.000;0.000;a;
schön heiß;0.906;0.195;0.021;a;
schon hellauf begeistert;1.000;0.000;0.000;a;
schon herausragend;1.000;0.000;0.000;a;
schön Humor;0.958;0.138;0.040;n;
schön illustriert;0.973;0.113;0.043;a;
schon immer begeistert;0.938;0.165;0.037;a;
schon immer Fan;0.966;0.125;0.035;n;
schon immer faszinierend;1.000;0.000;0.000;a;
schon immer geil;0.938;0.165;0.074;a;
schon immer gut gefallen;0.938;0.165;0.074;a;
schon immer schwer;0.400;0.000;0.000;a;m
schon immer sehr gut;0.938;0.165;0.052;a;
schon immer spitze;0.938;0.165;0.074;a;
schon immer wichtig;0.938;0.165;0.074;a;
schon jung;0.400;0.000;0.000;a;m
schön kalt;0.906;0.195;0.069;a;
schon kaputt;-0.800;0.384;0.061;a;
schön Klassiker;0.792;0.247;0.071;n;
schön knackig;0.906;0.195;0.069;a;
schön kniffelig;0.984;0.087;0.031;a;
schön knifflig;0.952;0.147;0.036;a;
schon köstlich;1.000;0.000;0.000;a;
schön kross;0.958;0.138;0.056;a;
schon Kult;0.991;0.065;0.010;n;
schon lang gesucht;0.973;0.113;0.043;a;
schon lang gewartet;1.000;0.000;0.000;a;
schon lang heimlich;0.958;0.138;0.056;a;
schon lang Kultstatus;1.000;0.000;0.000;n;
schon lang nicht mehr so begeistert;1.000;0.000;0.000;a;
schon lang nicht mehr so gut;0.979;0.100;0.026;a;
schon lang nicht mehr so gut unterhalten;1.000;0.000;0.000;a;
schon lang nicht mehr so schnell;0.938;0.165;0.074;a;
schon lang überfällig;0.942;0.160;0.031;a;
schon lang überlegt;0.993;0.059;0.014;a;
schon legendär;0.946;0.168;0.032;a;
schön Liebe;0.958;0.138;0.056;n;
schön Liebeserklärung;1.000;0.000;0.000;n;
schön locker;1.000;0.000;0.000;a;
schon mächtig gespannt;0.993;0.059;0.020;a;
schon mal besser;-0.167;0.373;0.054;a;
schon mal deutlich;0.938;0.165;0.074;a;
schon mal etwas lang;0.938;0.165;0.074;a;
schon mal super;0.973;0.113;0.030;a;
schön Märchen;0.741;0.428;0.079;n;
schon mehrfach angeschaut;1.000;0.000;0.000;a;
schon mehrfach angesehen;0.973;0.113;0.043;a;
schon mehrfach ausprobiert;1.000;0.000;0.000;a;
schon mehrfach gekauft;0.918;0.185;0.051;a;
schon mehrfach getan;1.000;0.000;0.000;a;
schon mehrfach getestet;0.938;0.165;0.052;a;
schon mehrfach verschenkt;1.000;0.000;0.000;a;
schon mit Begeisterung;0.958;0.138;0.033;n;
schon mit Spannung;0.916;0.187;0.027;n;
schön modern Märchen;0.594;0.195;0.069;n;
schon nahezu perfekt;1.000;0.000;0.000;a;
schon nicht übel;0.400;0.000;0.000;a;m
schon optimal;0.973;0.113;0.043;a;
schon phänomenal;1.000;0.000;0.000;a;
schon phantastisch;1.000;0.000;0.000;a;
schön platzsparend;0.938;0.165;0.074;a;
schön praktisch;0.906;0.195;0.069;a;
schon rauf;0.400;0.000;0.000;a;m
schon recht schwach;-0.500;0.000;0.000;a;
schon recht voll;0.400;0.000;0.000;a;m
schon recht zufrieden;0.906;0.195;0.069;a;
schön rein;1.000;0.000;0.000;a;
schon rein optisch;0.929;0.175;0.047;a;
schon restlos begeistert;1.000;0.000;0.000;a;
schon richtig ans Herz;0.938;0.165;0.052;n;
schon richtig begeistert;0.973;0.113;0.043;a;
schon richtig gut;0.966;0.125;0.016;a;
schon richtig klasse;1.000;0.000;0.000;a;
schon richtig Lust;1.000;0.000;0.000;n;
schon riesig;0.965;0.128;0.008;a;
schön satt;0.958;0.138;0.040;a;
schön schlicht gehalten;0.938;0.165;0.074;a;
schön Schmuckstück;0.735;0.489;0.119;n;
schön schräg;0.449;0.152;0.046;a;
schon schwer beeindruckt;0.938;0.165;0.074;a;
schon schwer begeistert;1.000;0.000;0.000;a;
schon sehnsüchtig;0.977;0.105;0.007;a;
schon sehr angenehm;0.938;0.165;0.052;a;
schon sehr ans Herz;0.958;0.138;0.056;n;
schon sehr ausgereift;1.000;0.000;0.000;a;
schon sehr beachtlich;0.938;0.165;0.052;a;
schon sehr beeindruckt;0.952;0.147;0.036;a;
schon sehr begeistert;0.949;0.152;0.017;a;
schon sehr bekannt;0.800;0.000;0.000;a;m
schon sehr direkt;0.938;0.165;0.074;a;
schon sehr eindrucksvoll;1.000;0.000;0.000;a;
schon sehr erstaunt;0.979;0.176;0.059;a;
schon sehr fesselnd;0.562;0.165;0.074;a;
schon sehr freue;0.929;0.175;0.033;a;
schon sehr geil;1.000;0.000;0.000;a;
schon sehr glücklich;0.958;0.138;0.056;a;
schon sehr gut gefallen;0.915;0.188;0.020;a;
schon sehr hochwertig;1.000;0.000;0.000;a;
schon sehr oft gehört;1.000;0.000;0.000;a;
schon sehr positiv überrascht;1.000;0.000;0.000;a;
schon sehr präzis;0.800;0.000;0.000;a;m
schon sehr scharf;0.906;0.195;0.069;a;
schon sehr sehr gut;0.966;0.125;0.035;a;
schon sehr sympathisch;0.958;0.138;0.056;a;
schon sehr toll;1.000;0.000;0.000;a;
schon sehr überzeugend;1.000;0.000;0.000;a;
schon sehr überzeugt;0.941;0.192;0.047;a;
schon sehr verwöhnt;1.000;0.000;0.000;a;
schon sehr viel Spaß;0.932;0.171;0.035;n;
schon selbsterklärend;1.000;0.000;0.000;a;
schon sensationell;0.965;0.128;0.023;a;
schon so begeistert;1.000;0.000;0.000;a;
schon so genial;0.993;0.059;0.020;a;
schon so gespannt;0.958;0.138;0.056;a;
schon so nah;0.938;0.165;0.074;a;
schon so neugierig;0.993;0.059;0.020;a;
schon so oft genannt;0.938;0.165;0.074;a;
schon so perfekt;0.958;0.138;0.056;a;
schon so spannend;0.993;0.059;0.020;a;
schon so spät;1.000;0.000;0.000;a;
schon Sorge;1.000;0.000;0.000;n;
schon spitze;0.964;0.130;0.021;a;
schon sportlich;0.562;0.165;0.074;a;
schon stabil;1.000;0.000;0.000;a;
schon süchtig;0.966;0.125;0.020;a;
schon super;0.922;0.182;0.011;a;
schon super gefallen;1.000;0.000;0.000;a;
schon super gut;1.000;0.000;0.000;a;
schon super spannend;0.938;0.165;0.074;a;
schon super zufrieden;1.000;0.000;0.000;a;
schon täglich;0.918;0.185;0.051;a;
schön Tiefe;0.969;0.174;0.062;n;
schon total begeistert;1.000;0.000;0.000;a;
schön Traumwelt;1.000;0.000;0.000;n;
schon überdurchschnittlich gut;1.000;0.000;0.000;a;
schon überraschend gut;1.000;0.000;0.000;a;
schön Überraschung;0.947;0.153;0.025;n;
schon überwältigend;0.958;0.138;0.040;a;
schon ungeduldig;0.000;0.000;0.000;a;m
schon ungewohnt;0.000;0.000;0.000;a;m
schon unglaublich gut;0.906;0.195;0.069;a;
schon unglaublich spannend;1.000;0.000;0.000;a;
schon unheimlich gut gefallen;0.938;0.165;0.074;a;
schon verrückt;0.000;0.000;0.000;a;m
schon verschiedensten;0.000;0.000;0.000;a;m
schon viel eher haben;0.000;0.000;0.000;a;m
schon viel leicht;0.000;0.000;0.000;a;m
schon viel Mut;1.000;0.000;0.000;n;
schon viel positiv;0.938;0.165;0.052;a;
schon voll Spannung;0.973;0.113;0.043;n;
schon voll überzeugt;0.973;0.113;0.043;a;
schon Vorfreude;1.000;0.000;0.000;n;
schon vorher sehr gut;1.000;0.000;0.000;a;
schon vorher wussten;0.938;0.165;0.052;a;
schon Wahnsinn;0.943;0.158;0.035;n;
schon wahnsinnig;0.985;0.085;0.009;a;
schon wahnsinnig gespannt;1.000;0.000;0.000;a;
schon warm;0.920;0.183;0.039;a;
schön weich gepolstert;1.000;0.000;0.000;a;
schon weltweit;0.938;0.165;0.074;a;
schon wert;0.908;0.200;0.016;a;
schon wesentlich teurer;1.000;0.000;0.000;a;
schon wieder genial;1.000;0.000;0.000;a;
schon wieder sauber;1.000;0.000;0.000;a;
schon wirklich super;0.958;0.138;0.056;a;
schon wunderbar;0.938;0.165;0.030;a;
schon wundervoll;1.000;0.000;0.000;a;
schon ziemlich klasse;0.938;0.165;0.074;a;
schön zu gleich;1.000;0.000;0.000;a;
schonend;0.818;0.321;0.097;a;
schonend getrocknet;0.938;0.165;0.074;a;
schonend rasiert;1.000;0.000;0.000;a;
schöner;0.706;0.456;0.111;a;
schöner Kompliment;1.000;0.000;0.000;n;
schöner Liebeserklärung;0.938;0.165;0.074;n;
Schönheit;0.797;0.423;0.055;n;
schönsten;0.907;0.319;0.014;a;
schönsten Fehler;-0.400;0.000;0.000;n;m
schönsten Gefühl;0.958;0.138;0.056;n;
schönsten Geschenk;1.000;0.000;0.000;n;
schönsten Kompliment;1.000;0.000;0.000;n;
schönsten Liebeserklärung;0.945;0.156;0.039;n;
schönsten Märchen;1.000;0.000;0.000;n;
schonungslos;0.000;0.000;0.000;a;m
schonungslos darstellen;0.958;0.138;0.056;a;
schonungslos ehrlich;0.940;0.162;0.024;a;
schonungslos realistisch;1.000;0.000;0.000;a;
schonungslos Wahrheit;0.958;0.138;0.056;n;
schräg;0.000;0.000;0.000;a;m
schräge;0.000;0.000;0.000;a;m
schrecklich;-0.649;0.696;0.046;a;
schrecklich Erlebnis;-0.800;0.000;0.000;n;m
schrecklich gut;1.000;0.000;0.000;a;
schrecklich langweilig;-0.950;0.150;0.047;a;
schrecklich spannend;0.938;0.165;0.074;a;
schrecklich Traum;-0.400;0.000;0.000;n;m
schrecklich verstümmeln;-0.800;0.000;0.000;a;m
schreiend komisch;0.924;0.180;0.030;a;
schriftlich;0.000;0.000;0.000;a;m
schriftlich festhalten;0.000;0.000;0.000;a;m
Schrott;-0.956;0.256;0.010;n;
Schuld;0.000;0.000;0.000;n;m
schuld;-0.106;0.776;0.207;a;
schuldig;-0.400;0.000;0.000;a;m
Schund;-0.967;0.123;0.018;n;
schwach;-0.481;0.624;0.018;a;
schwach Leistung;-0.637;0.354;0.041;n;
schwach Stil;-0.594;0.195;0.069;n;
Schwäche;0.000;0.000;0.000;n;m
schwächer;-0.109;0.316;0.044;a;
Schwachpunkt;-0.400;0.000;0.000;n;m
Schwachsinn;-0.809;0.468;0.048;n;
schwachsinnig;-0.714;0.645;0.152;a;
Schwachstelle;-0.400;0.000;0.000;n;m
schwächsten;-0.394;0.430;0.029;a;
schwanger;0.000;0.000;0.000;a;m
schwarz britisch Humor;1.000;0.000;0.000;n;
schwarz englisch Humor;1.000;0.000;0.000;n;
schwarz Humor;0.857;0.282;0.048;n;
Schweinerei;-1.000;0.000;0.000;n;
schweißtreibend;-0.400;0.000;0.000;a;m
schwer;0.019;0.693;0.032;a;
schwer beeindruckend;1.000;0.000;0.000;a;
schwer beeindruckt;0.929;0.175;0.013;a;
schwer begeistert;0.958;0.138;0.040;a;
schwer durchschaubare;0.000;0.000;0.000;a;m
schwer einzeln;0.000;0.000;0.000;a;m
schwer enttäuscht;-0.802;0.327;0.045;a;
schwer Enttäuschung;-0.833;0.236;0.056;n;
schwer erschüttern;0.958;0.138;0.056;a;
schwer fallen;-0.400;0.000;0.000;a;m
schwer gezeichnet;0.000;0.000;0.000;a;m
schwer machen;-0.400;0.000;0.000;a;m
schwer verdaulich;-0.400;0.000;0.000;a;m
schwer vergleichbar;0.000;0.000;0.000;a;m
schwer zu lösend;0.000;0.000;0.000;a;m
schwer zufrieden;0.984;0.087;0.031;a;
schwerst begeistert;0.938;0.165;0.052;a;
schwersten;0.000;0.000;0.000;a;m
schwerwiegend Ereignis;-0.400;0.000;0.000;n;m
schwierig;-0.400;0.000;0.000;a;m
schwul Liebe;0.000;0.000;0.000;n;m
schwungvoll;0.750;0.403;0.127;a;
sechsten Abenteuer;0.000;0.000;0.000;n;m
Seele;0.831;0.433;0.030;n;
seelenlos;-0.536;0.556;0.121;a;
sehenswert;0.783;0.308;0.032;a;
Sehnsucht;0.814;0.328;0.046;n;
sehnsüchtig;0.647;0.412;0.100;a;
sehr abergläubisch;0.000;0.000;0.000;a;m
sehr abscheiden;0.000;0.000;0.000;a;m
sehr abwechslungsreich;0.861;0.224;0.053;a;
sehr abwechslungsreich gestalten;0.906;0.195;0.031;a;
sehr akkurat;0.973;0.113;0.043;a;
sehr akustisch;0.969;0.174;0.062;a;
sehr amerikanisch;-0.200;0.557;0.176;a;
sehr amüsant;0.789;0.284;0.033;a;
sehr angenehm;0.904;0.207;0.019;a;
sehr angenehm Stil;0.949;0.152;0.046;n;
sehr angenehm überrascht;0.926;0.178;0.013;a;
sehr angenehm warm;0.924;0.180;0.060;a;
sehr anpassungsfähig;0.973;0.113;0.043;a;
sehr anschaulich;0.781;0.305;0.076;a;
sehr anschaulich erzählt;0.924;0.180;0.060;a;
sehr anschmiegsam;0.906;0.195;0.049;a;
sehr ansprechend;0.846;0.411;0.081;a;
sehr ärgerlich;-0.857;0.226;0.060;a;
sehr aromatisch;0.949;0.152;0.023;a;
sehr atmungsaktiv;1.000;0.000;0.000;a;
sehr aufbrausend;-0.400;0.000;0.000;a;m
sehr aufrüttelnd;0.973;0.113;0.043;a;
sehr aufschlussreich;0.733;0.512;0.132;a;
sehr aufwendig gestalten;1.000;0.000;0.000;a;
sehr aufwendig produziert;0.906;0.195;0.069;a;
sehr ausdrucksstarke;0.977;0.104;0.022;a;
sehr ausführlich;0.625;0.444;0.099;a;
sehr ausgeglichen;0.977;0.104;0.022;a;
sehr ausgleichen;0.938;0.165;0.022;a;
sehr ausreichend;0.914;0.189;0.041;a;
sehr authentisch;1.000;0.000;0.000;a;
sehr authentisch beschreiben;0.938;0.165;0.033;a;
sehr beachtenswert;0.938;0.165;0.052;a;
sehr bedienerfreundlich;0.920;0.183;0.017;a;
sehr bedrückt;-0.400;0.000;0.000;a;m
sehr beeindruckend;0.946;0.156;0.023;a;
sehr beeindruckt;0.925;0.179;0.009;a;
sehr befreiend;0.929;0.175;0.047;a;
sehr begabten;0.931;0.173;0.040;a;
sehr begeistert;0.946;0.155;0.026;a;
sehr behilflich;0.906;0.195;0.044;a;
sehr beliebt;0.962;0.133;0.037;a;
sehr benutzerfreundlich gestalten;1.000;0.000;0.000;a;
sehr benutzerfreundliche;1.000;0.000;0.000;a;
sehr bequem;0.890;0.207;0.021;a;
sehr bereichern;0.938;0.165;0.052;a;
sehr bereichernd;0.920;0.183;0.039;a;
sehr beruhigend;0.906;0.195;0.018;a;
sehr berühmt;0.933;0.170;0.032;a;
sehr berührend;0.902;0.220;0.029;a;
sehr berührt;0.931;0.172;0.008;a;
sehr bestürzt;-0.400;0.000;0.000;a;m
sehr bewandert;0.500;0.000;0.000;a;
sehr bewegend;0.919;0.184;0.021;a;
sehr bezaubernd;1.000;0.000;0.000;a;
sehr bezwingende;0.500;0.000;0.000;a;
sehr bildhaft darstellen;0.951;0.170;0.040;a;
sehr bildhaft geschildert;0.938;0.165;0.074;a;
sehr brauchbar;0.741;0.250;0.034;a;
sehr brutal darstellen;0.000;0.000;0.000;a;m
sehr charismatischer;0.906;0.195;0.056;a;
sehr cool;0.917;0.250;0.059;a;
sehr cremigen;0.958;0.138;0.056;a;
sehr detailgetreu beschreiben;0.958;0.138;0.056;a;
sehr detaillierter;0.906;0.195;0.069;a;
sehr detailreiches;0.924;0.180;0.060;a;
sehr detailverliebte;1.000;0.000;0.000;a;
sehr deutlich bemerkbar;1.000;0.000;0.000;a;
sehr deutlich darstellen;0.993;0.059;0.020;a;
sehr deutlich herausarbeiten;0.938;0.165;0.074;a;
sehr dicht geschrieben;0.400;0.000;0.000;a;m
sehr diskret;0.984;0.087;0.022;a;
sehr drüber gefreut;0.979;0.176;0.059;a;
sehr druckvoll;0.938;0.165;0.028;a;
sehr echt rüber;0.973;0.113;0.043;a;
sehr edel;0.846;0.231;0.064;a;
sehr effektiv;0.926;0.178;0.034;a;
sehr effizient;0.953;0.146;0.017;a;
sehr ehrlich;0.927;0.177;0.012;a;
sehr einfach;0.578;0.605;0.085;a;
sehr einfach verständlich;0.924;0.180;0.060;a;
sehr einfühlsam;0.912;0.191;0.046;a;
sehr einfühlsam beschreiben;0.927;0.177;0.037;a;
sehr einfühlsam erzählt;1.000;0.000;0.000;a;
sehr einfühlsam geschrieben;0.958;0.138;0.056;a;
sehr einverstanden;1.000;0.000;0.000;a;
sehr einzigartig;0.958;0.138;0.028;a;
sehr ekelhaft;-0.800;0.000;0.000;a;m
sehr elastisch;0.910;0.192;0.032;a;
sehr elegant;0.952;0.147;0.032;a;
sehr elegant gelöst;0.958;0.138;0.056;a;
sehr emotional;0.912;0.256;0.062;a;
sehr emotional geladen;-0.400;0.000;0.000;a;m
sehr empfehlen;0.962;0.132;0.026;a;
sehr empfehlenswert;0.954;0.173;0.006;a;
sehr empfindlich;0.000;0.456;0.132;a;
sehr endgültig;0.938;0.165;0.074;a;
sehr entspannend;0.917;0.186;0.038;a;
sehr enttäuschend;-0.781;0.307;0.016;a;
sehr enttäuscht;-0.784;0.341;0.027;a;
sehr erdig;0.938;0.165;0.074;a;
sehr ereignisreich;0.973;0.113;0.043;a;
sehr erfrischend;0.850;0.229;0.072;a;
sehr ergiebig;0.975;0.110;0.008;a;
sehr ergonomisch;0.906;0.195;0.025;a;
sehr ergreifen;1.000;0.000;0.000;a;
sehr ergreifend;0.887;0.209;0.038;a;
sehr ermutigend;1.000;0.000;0.000;a;
sehr ernst genommen;0.979;0.100;0.026;a;
sehr erotisch;0.842;0.232;0.053;a;
sehr erregend;1.000;0.000;0.000;a;
sehr erschwinglich;0.984;0.087;0.031;a;
sehr erstaunen;0.938;0.165;0.074;a;
sehr erträglich;0.984;0.087;0.022;a;
sehr erweitern;1.000;0.000;0.000;a;
sehr exzentrisch;-0.400;0.000;0.000;a;m
sehr fair;0.920;0.183;0.012;a;
sehr fantasievoller;0.958;0.138;0.056;a;
sehr fein;0.944;0.157;0.037;a;
sehr fein gezeichnet;0.924;0.180;0.060;a;
sehr feinfühlig erzählt;0.938;0.165;0.074;a;
sehr feinkörnig;0.973;0.113;0.043;a;
sehr feinsinnig;0.993;0.059;0.020;a;
sehr fesselnd;0.870;0.219;0.030;a;
sehr fettarm;1.000;0.000;0.000;a;
sehr flach;-0.542;0.660;0.191;a;
sehr flach gebaut;0.938;0.165;0.074;a;
sehr flexibel einsetzbar;0.938;0.165;0.074;a;
sehr flüssig Stil;0.949;0.152;0.046;n;
sehr froh;0.915;0.188;0.006;a;
sehr fromm;1.000;0.000;0.000;a;
sehr fruchtbar;1.000;0.000;0.000;a;
sehr fruchtig;1.000;0.000;0.000;a;
sehr fundieren;0.938;0.165;0.037;a;
sehr funktionstüchtig;0.973;0.113;0.043;a;
sehr geeignet;0.875;0.217;0.044;a;
sehr gefühlsvoll;0.938;0.165;0.052;a;
sehr gefühlvoll;0.906;0.195;0.034;a;
sehr gefühlvoll beschreiben;0.914;0.189;0.041;a;
sehr gefühlvoll darstellen;0.938;0.165;0.074;a;
sehr gefühlvoll interpretiert;1.000;0.000;0.000;a;
sehr geholfen;0.942;0.161;0.029;a;
sehr geil;0.949;0.225;0.020;a;
sehr gelohnt;0.965;0.128;0.023;a;
sehr gelungen;0.913;0.214;0.011;a;
sehr gelungen Abwechslung;0.973;0.113;0.030;n;
sehr gelungen Meisterwerk;1.000;0.000;0.000;n;
sehr genau;0.781;0.499;0.125;a;
sehr genial;0.956;0.187;0.032;a;
sehr gequetscht;-0.400;0.000;0.000;a;m
sehr geräumig;0.913;0.190;0.015;a;
sehr geräuscharm;0.951;0.149;0.020;a;
sehr gereift;0.993;0.059;0.020;a;
sehr gerührt;0.941;0.161;0.027;a;
sehr geschickt aufgebaut;0.938;0.165;0.074;a;
sehr geschmunzelt;1.000;0.000;0.000;a;
sehr gewöhnungsbedürftig;0.100;0.300;0.095;a;
sehr glaubhaft geschildert;0.906;0.195;0.069;a;
sehr glaubwürdig darstellen;0.906;0.195;0.044;a;
sehr glaubwürdig umgesetzt;1.000;0.000;0.000;a;
sehr goldig;1.000;0.000;0.000;a;
sehr grandios;0.562;0.165;0.074;a;
sehr graphisch;0.000;0.000;0.000;a;m
sehr groß;0.000;0.000;0.000;a;m
sehr groß Freude;0.938;0.165;0.037;n;
sehr groß Hilfe;0.935;0.168;0.024;n;
sehr groß Lob;0.958;0.138;0.021;n;
sehr groß Spaßfaktor;0.958;0.138;0.056;n;
sehr groß Überraschung;0.958;0.138;0.056;n;
sehr großartig;0.958;0.138;0.056;a;
sehr günstig;0.894;0.268;0.047;a;
sehr gut;0.898;0.227;0.002;a;
sehr gut adaptiert;0.542;0.138;0.056;a;
sehr gut angekommen;0.917;0.186;0.012;a;
sehr gut angelegt;0.935;0.169;0.025;a;
sehr gut angeordnet;1.000;0.000;0.000;a;
sehr gut aufgegliedert;0.984;0.087;0.031;a;
sehr gut aufgehoben;0.938;0.165;0.021;a;
sehr gut aufgenommen;0.955;0.143;0.024;a;
sehr gut aufgeteilt;0.954;0.145;0.030;a;
