Word,Valence_N,Valence_M,Valence_SD,Arousal_N,Arousal_M,Arousal_SD,Concreteness_N,Concreteness_M,Concreteness_SD,Length,Cluster,,,,,,
Erkenntnis,31,7.48,2.53,31,5.32,2.87,23,4.04,2.96,10,4,,,,,,
Erklärung,28,5.82,1.76,18,2.89,2.45,18,4.17,3.59,9,1,,,,,,
Erkrankung,21,2.52,2.86,27,4.67,2.22,26,6.19,3.19,10,2,,,,,,
Erlaubnis,28,6.64,2.02,26,3.88,2.07,26,5.23,2.89,9,4,,,,,,
Erlebnis,24,6.92,2.57,22,6.32,3.05,23,5.35,2.67,8,4,,,,,,
Erledigung,30,4.67,1.73,26,4.42,2.86,19,4.05,3.58,10,1,,,,,,
Erleichterung,21,8.24,1.89,30,4.90,2.83,26,5.04,2.75,13,4,,,,,,
Erlös,33,6.48,1.94,21,4.10,2.34,26,6.12,3.12,5,4,,,,,,
Erlösung,32,7.03,2.29,20,4.80,2.75,24,3.58,2.87,8,4,,,,,,
Ermächtigung,28,4.68,2.00,27,4.81,2.91,29,3.93,3.02,12,1,,,,,,
Ermäßigung,24,6.50,1.74,16,2.69,2.63,22,5.77,2.83,10,1,,,,,,
Ermittlung,32,4.03,1.75,27,4.93,2.89,23,4.30,2.93,10,2,,,,,,
Ermordung,23,1.39,2.82,23,7.13,3.31,16,7.50,2.00,9,2,,,,,,
Ermüdung,23,3.22,2.02,28,1.61,2.02,26,6.58,2.79,8,1,,,,,,
Ernährung,28,6.64,1.87,26,3.77,2.82,21,6.81,2.14,9,4,,,,,,
Erniedrigung,31,1.45,2.51,29,5.66,3.50,29,4.76,3.04,12,2,,,,,,
Eroberung,27,5.07,2.56,20,4.90,2.95,36,5.94,2.74,9,4,,,,,,
Eröffnung,30,6.40,2.03,28,4.14,3.12,27,6.33,2.88,9,4,,,,,,
Erörterung,28,5.07,1.96,25,3.92,2.63,29,4.66,3.11,10,1,,,,,,
Erreger,16,1.63,1.41,35,5.29,2.79,20,6.00,2.68,7,2,,,,,,
Ersatz,24,4.50,1.84,32,2.34,2.09,19,4.00,3.54,6,1,,,,,,
Erschießung,25,0.80,1.44,25,7.64,2.51,14,7.43,2.62,11,2,,,,,,
Erschöpfung,21,3.24,1.73,26,4.96,3.10,20,6.75,2.43,11,2,,,,,,
Erstattung,24,6.42,1.95,20,3.10,2.36,26,4.31,2.88,10,1,,,,,,
Erteilung,16,4.13,2.09,33,2.88,2.63,25,2.84,2.56,9,1,,,,,,
Ertrag,31,6.58,2.47,32,3.69,2.84,16,6.19,2.83,6,4,,,,,,
Erwägung,25,5.32,1.91,25,2.72,1.79,22,4.59,3.72,8,1,,,,,,
Erwartung,27,6.15,2.03,28,5.43,2.52,28,3.61,2.67,9,4,,,,,,
Erweiterung,27,6.30,2.13,28,2.82,1.98,30,4.90,2.83,11,1,,,,,,
Erwerb,27,6.78,1.99,20,4.00,2.66,23,4.26,2.83,6,4,,,,,,
Erwerbslosigkeit,22,3.14,3.15,30,4.67,3.60,17,6.65,2.94,16,2,,,,,,
Erzähler,27,6.96,2.19,27,3.33,2.73,13,7.23,2.28,8,3,,,,,,
Erzeugnis,32,5.84,2.03,20,2.05,2.14,20,5.25,2.88,9,1,,,,,,
Erzeugung,13,5.69,1.93,22,3.05,2.19,16,4.19,2.88,9,1,,,,,,
Erziehung,23,6.04,1.64,28,4.89,3.08,26,4.27,2.91,9,4,,,,,,
Esel,25,6.16,2.06,26,2.42,2.37,20,9.60,1.14,4,3,,,,,,
Essen,22,6.91,2.39,23,5.00,2.78,22,6.91,2.49,5,4,,,,,,
Etage,29,5.24,1.06,24,1.04,0.95,23,7.91,2.35,5,3,,,,,,
Etikett,12,5.08,1.83,29,1.52,1.92,28,7.86,2.51,7,3,,,,,,
Eule,21,5.48,1.83,25,2.24,2.18,15,9.33,1.59,4,3,,,,,,
Evangelium,38,4.79,2.55,27,3.04,2.78,21,6.52,2.87,10,1,,,,,,
Evolution,41,5.73,1.76,34,4.50,2.60,19,4.84,3.18,9,1,,,,,,
Ewigkeit,20,6.05,2.24,25,3.60,2.87,21,3.48,3.23,8,1,,,,,,
Examen,18,4.83,2.01,21,6.90,2.66,23,7.35,2.37,6,2,,,,,,
Exekution,22,1.18,2.36,27,6.85,3.08,8,8.38,1.51,9,2,,,,,,
Exemplar,22,5.82,1.50,27,2.19,2.20,17,5.65,3.00,8,1,,,,,,
Exil,27,2.85,2.18,19,5.21,3.19,21,5.19,3.14,4,2,,,,,,
Existenz,29,6.97,1.95,28,5.32,3.14,21,4.19,2.98,8,4,,,,,,
Expansion,23,4.87,1.96,22,3.55,2.22,18,5.89,2.35,9,1,,,,,,
Expedition,22,7.23,2.18,24,5.08,2.80,22,5.55,2.56,10,4,,,,,,
Experiment,26,5.15,1.87,29,5.69,2.79,26,6.15,2.46,10,4,,,,,,
Experte,32,6.25,2.08,31,4.52,2.47,29,6.76,2.60,7,4,,,,,,
Explosion,32,2.78,2.30,24,7.04,2.63,23,8.78,1.93,9,2,,,,,,
Export,23,5.09,1.59,28,3.14,2.80,19,4.21,3.15,6,1,,,,,,
Extremismus,21,2.62,2.75,23,7.26,2.45,25,5.76,2.99,11,2,,,,,,
Extremist,22,1.64,2.34,24,7.38,2.57,36,6.17,2.52,9,2,,,,,,
Fabrik,18,4.00,1.41,20,3.55,2.95,19,8.26,2.13,6,3,,,,,,
Fackel,26,5.38,2.21,25,3.76,2.33,16,8.88,2.13,6,3,,,,,,
Fähigkeit,31,7.58,1.82,26,4.46,2.92,20,3.80,2.17,9,4,,,,,,
Fahne,22,4.59,2.15,19,2.74,2.40,20,8.50,2.37,5,3,,,,,,
Fahrer,21,5.00,1.87,34,2.59,2.34,26,8.58,1.55,6,3,,,,,,
Fahrrad,27,6.81,1.88,35,2.83,2.20,19,9.89,0.32,7,3,,,,,,
Fahrschule,30,5.00,1.62,35,4.00,3.23,21,8.24,2.72,10,3,,,,,,
Fahrt,28,5.89,2.18,26,2.62,2.52,21,6.00,2.86,5,1,,,,,,
Fahrzeug,25,5.56,1.66,30,2.70,2.09,26,7.58,2.45,8,3,,,,,,
Faktor,31,5.03,1.33,27,2.93,2.30,28,3.86,2.94,6,1,,,,,,
Fall,16,4.94,2.64,18,4.61,3.16,11,4.91,2.51,4,1,,,,,,
Familie,27,8.15,1.85,31,5.42,3.29,19,8.32,2.00,7,4,,,,,,
Fan,23,5.39,2.31,21,4.33,2.96,29,7.41,2.08,3,3,,,,,,
Fang,33,5.48,2.37,23,3.83,2.55,18,5.67,2.72,4,1,,,,,,
Farbe,31,7.13,2.16,35,2.97,2.90,18,7.39,2.45,5,3,,,,,,
Farm,23,5.70,2.18,27,2.04,2.03,22,7.77,2.05,4,3,,,,,,
Farn,22,5.86,1.73,15,1.13,1.60,24,8.75,1.19,4,3,,,,,,
Faschismus,22,0.55,0.96,24,6.58,2.95,21,6.71,2.92,10,2,,,,,,
Faschist,29,1.66,2.72,23,6.00,3.15,19,7.42,2.29,8,2,,,,,,
Fass,29,5.83,1.95,18,2.06,2.58,25,8.40,2.83,4,3,,,,,,
Fassung,23,5.57,1.27,29,2.41,2.03,7,3.43,2.15,7,1,,,,,,
Faust,23,3.74,2.12,28,5.43,3.11,16,9.00,2.10,5,2,,,,,,
Fazit,22,6.50,2.28,29,3.93,2.91,27,4.85,3.23,5,4,,,,,,
Feder,24,7.08,2.19,19,2.84,2.34,12,9.50,1.45,5,3,,,,,,
Fee,29,8.03,2.31,24,3.96,2.97,28,7.93,2.34,3,4,,,,,,
Fehler,22,3.41,1.99,29,5.79,2.64,30,5.80,2.89,6,2,,,,,,
Fehltritt,39,3.18,1.92,19,5.42,2.95,24,4.75,3.19,9,2,,,,,,
Feier,26,8.19,1.60,21,6.05,2.29,23,6.96,2.60,5,4,,,,,,
Feierabend,35,9.00,1.19,35,5.91,2.78,18,7.28,2.54,10,4,,,,,,
Feigling,14,2.43,1.22,25,5.20,2.24,14,6.93,2.62,8,2,,,,,,
Feind,26,3.00,3.12,29,6.24,2.49,16,5.13,3.48,5,2,,,,,,
Feindschaft,19,2.16,1.80,29,7.21,1.68,23,5.04,2.84,11,2,,,,,,
Feld,28,5.57,2.04,30,1.47,1.46,17,7.53,2.72,4,3,,,,,,
Fell,20,5.85,2.50,24,4.00,2.84,19,8.89,1.66,4,3,,,,,,
Fenster,23,6.91,1.73,36,2.58,2.53,21,8.62,2.85,7,3,,,,,,
Fensterbank,19,6.16,2.54,16,2.31,2.36,24,9.67,1.63,11,3,,,,,,
Ferne,26,6.08,2.31,16,5.56,3.08,24,5.92,2.81,5,4,,,,,,
Fernrohr,20,5.55,1.93,20,2.05,2.63,25,9.16,2.19,8,3,,,,,,
Fernseher,31,5.35,2.20,19,3.42,2.71,26,9.27,1.25,9,3,,,,,,
Ferse,27,4.33,1.86,20,1.15,1.46,22,9.14,1.21,5,3,,,,,,
Fest,33,7.12,2.39,33,6.12,2.90,19,7.68,2.36,4,4,,,,,,
Festival,33,6.42,2.77,12,4.67,2.57,22,5.59,3.20,8,4,,,,,,
Feuer,28,4.96,2.60,39,6.67,2.50,13,9.77,0.60,5,2,,,,,,
Fieber,26,2.15,1.46,26,6.27,2.36,16,7.25,2.05,6,2,,,,,,
Figur,26,5.35,2.02,21,2.71,3.12,14,7.07,2.09,5,3,,,,,,
Film,23,7.30,1.46,19,4.32,2.43,22,7.86,2.27,4,4,,,,,,
Finger,34,6.12,1.81,26,2.08,2.21,17,9.12,2.32,6,3,,,,,,
Fingerhut,28,5.36,1.79,24,1.54,2.21,16,8.75,2.59,9,3,,,,,,
Fingernagel,29,4.66,1.91,31,3.16,3.14,18,9.67,0.59,11,3,,,,,,
Finsternis,38,4.08,2.70,24,6.54,2.45,23,8.04,1.74,10,2,,,,,,
Firma,12,4.67,2.02,24,3.50,2.81,19,7.16,2.22,5,3,,,,,,
Firmament,28,7.25,1.82,26,3.46,2.90,19,6.11,3.18,9,4,,,,,,
Fisch,23,5.74,2.09,20,1.45,1.54,19,8.68,2.58,5,3,,,,,,
Fischer,26,4.92,1.85,21,2.71,3.12,26,8.50,2.21,7,3,,,,,,
Fläche,32,5.50,1.55,17,1.35,1.80,25,6.24,2.52,6,1,,,,,,
Flamme,24,5.50,1.93,19,6.47,1.54,28,8.36,2.39,6,4,,,,,,
Flasche,16,5.31,1.40,21,1.71,2.33,24,9.50,1.02,7,3,,,,,,
Fleck,23,2.52,1.73,22,3.05,2.28,19,8.58,1.57,5,3,,,,,,
Fleisch,21,4.62,2.42,26,4.15,3.09,17,9.18,1.55,7,3,,,,,,
Fleischer,34,4.26,1.97,20,3.45,3.15,25,8.84,1.55,9,3,,,,,,
Flexibilität,30,6.30,2.28,24,4.25,2.35,16,6.25,2.72,12,4,,,,,,
Flirt,29,7.52,2.29,34,7.12,2.17,18,7.00,2.35,5,4,,,,,,
Floß,27,6.19,1.64,26,2.12,1.88,19,8.42,2.41,4,3,,,,,,
Flosse,27,5.07,2.06,25,2.72,2.75,22,8.32,2.30,6,3,,,,,,
Flöte,39,6.08,2.19,21,2.52,2.42,26,8.69,2.81,5,3,,,,,,
Flüchtling,27,2.44,1.85,30,5.93,3.03,17,7.53,2.45,10,2,,,,,,
Flug,21,5.71,2.74,12,5.17,2.62,18,8.11,1.68,4,4,,,,,,
Flügel,19,7.84,1.68,21,3.81,2.66,20,7.65,2.56,6,4,,,,,,
Flughafen,20,6.25,2.29,25,5.16,3.41,26,9.35,2.02,9,3,,,,,,
Flugzeug,31,6.06,1.57,18,5.00,3.36,21,9.43,0.98,8,3,,,,,,
Fluss,25,6.96,1.57,33,3.58,2.39,17,8.41,2.15,5,3,,,,,,
Flut,30,3.60,2.75,24,6.63,2.99,20,7.75,2.00,4,2,,,,,,
Folge,23,5.17,2.04,25,3.28,2.85,12,4.92,3.12,5,1,,,,,,
Folgerung,23,6.13,1.71,22,2.91,2.33,27,3.63,2.68,9,1,,,,,,
Folie,20,5.05,1.32,20,1.80,2.33,30,8.33,2.04,5,3,,,,,,
Fön,23,5.17,2.23,23,1.43,1.73,18,8.67,2.30,3,3,,,,,,
Forderung,17,4.29,1.69,20,5.50,2.46,28,4.36,2.68,9,2,,,,,,
Förderung,20,7.30,1.63,21,4.24,2.47,19,4.00,3.00,9,4,,,,,,
Form,22,6.18,1.47,22,2.86,2.55,25,4.04,3.03,4,1,,,,,,
Format,25,5.24,1.88,29,1.86,2.39,23,5.26,2.38,6,1,,,,,,
Formation,30,5.17,1.60,30,2.57,2.34,15,4.67,2.74,9,1,,,,,,
Formel,27,5.52,2.64,23,2.78,3.18,24,5.83,2.70,6,1,,,,,,
Formular,20,3.20,1.44,36,2.36,2.63,18,8.67,1.61,8,3,,,,,,
Formulierung,29,5.03,1.66,35,1.77,2.39,27,4.78,3.37,12,1,,,,,,
Forschung,17,7.35,1.84,31,4.32,2.50,23,5.00,2.66,9,4,,,,,,
Fortschritt,26,7.23,2.14,23,4.96,2.74,16,4.19,3.17,11,4,,,,,,
Fossil,31,5.81,2.34,28,1.96,1.75,19,7.26,2.13,6,3,,,,,,
Foto,25,6.84,2.46,24,4.08,2.32,23,9.43,1.12,4,3,,,,,,
Fotografie,20,6.90,2.25,22,4.95,2.48,17,8.82,1.55,10,4,,,,,,
Frage,23,5.78,2.19,28,3.32,2.13,29,6.59,3.19,5,3,,,,,,
Fragment,27,4.81,1.44,21,3.38,2.84,28,4.71,3.15,8,1,,,,,,
Fragwürdigkeit,22,4.09,1.95,32,4.50,2.42,13,3.77,2.77,14,1,,,,,,
Frau,31,7.61,1.73,18,4.17,2.90,17,8.41,2.35,4,4,,,,,,
Freiheit,28,8.43,2.56,22,6.45,2.67,22,5.32,3.21,8,4,,,,,,
Freilassung,22,6.50,1.71,27,4.78,2.79,18,6.17,3.05,11,4,,,,,,
Freizeit,32,8.78,1.62,29,4.97,1.95,18,6.67,2.81,8,4,,,,,,
Frequenz,28,4.89,1.34,22,2.86,2.38,21,5.43,3.16,8,1,,,,,,
Freude,34,8.62,2.12,23,8.04,2.20,25,6.40,2.69,6,4,,,,,,
Freund,18,8.78,1.59,22,5.45,2.46,26,6.62,2.43,6,4,,,,,,
Freundin,25,8.56,1.66,25,6.68,2.01,28,7.89,2.30,8,4,,,,,,
Freundschaft,30,8.87,1.87,27,6.74,2.35,24,5.58,3.15,12,4,,,,,,
Frieden,18,9.44,0.98,24,4.33,2.66,17,5.18,3.19,7,4,,,,,,
Friedhof,22,3.41,2.68,37,5.08,2.73,22,8.91,2.27,8,2,,,,,,
Frist,30,3.17,1.72,28,5.68,2.82,19,6.16,3.15,5,2,,,,,,
Fröhlichkeit,34,8.44,2.39,27,5.48,3.06,16,5.25,3.07,12,4,,,,,,
Front,16,2.69,1.89,21,5.05,3.23,17,4.24,2.44,5,2,,,,,,
Frosch,23,5.35,2.12,19,3.21,3.14,38,9.16,2.07,6,3,,,,,,
Frost,27,4.00,2.54,23,3.61,2.66,27,8.22,2.36,5,3,,,,,,
Frucht,22,6.50,2.72,21,4.10,2.95,28,8.00,2.64,6,3,,,,,,
Fruchtbarkeit,21,6.52,2.25,13,4.08,3.30,19,5.63,2.75,13,4,,,,,,
Frühstück,36,7.67,1.47,27,3.22,2.74,32,8.72,1.46,9,3,,,,,,
Frustration,29,2.41,2.67,17,6.76,2.17,25,5.36,3.66,11,2,,,,,,
Fuchs,18,5.78,1.93,33,3.52,2.46,15,8.67,2.13,5,3,,,,,,
Fügung,25,4.80,1.80,30,4.27,2.99,24,3.29,2.69,6,1,,,,,,
Führer,29,2.86,2.23,21,4.33,3.38,25,6.64,2.58,6,2,,,,,,
Führung,11,5.18,1.83,24,4.96,2.91,16,5.56,2.83,7,4,,,,,,
Fund,28,6.57,2.06,18,4.83,2.79,18,4.28,3.08,4,4,,,,,,
Funktion,28,5.39,2.35,32,2.56,2.05,25,4.76,2.30,8,1,,,,,,
Furcht,29,1.76,1.55,25,6.92,2.98,16,4.50,2.03,6,2,,,,,,
Fürst,23,5.65,1.82,29,1.83,1.97,32,7.78,2.37,5,3,,,,,,
Fuß,28,5.46,2.03,26,2.38,2.48,25,9.60,0.76,3,3,,,,,,
Fußball,33,4.70,3.13,23,3.74,3.61,21,9.38,1.36,7,3,,,,,,
Fußboden,24,5.00,1.74,26,0.81,1.74,26,8.88,1.80,8,3,,,,,,
Fütterung,26,6.42,1.50,21,3.05,2.44,20,7.70,2.13,9,3,,,,,,
Gabe,29,7.41,1.92,18,3.56,2.94,21,3.90,2.47,4,4,,,,,,
Gabel,27,5.81,1.69,22,1.14,1.98,24,9.54,0.78,5,3,,,,,,
Gala,26,5.23,2.05,27,3.89,2.69,31,5.74,2.82,4,1,,,,,,
Galerie,24,5.33,2.28,33,2.82,2.83,19,7.63,1.21,7,3,,,,,,
Galopp,25,5.60,2.14,24,5.54,3.55,20,8.30,1.59,6,4,,,,,,
Gang,23,5.39,1.27,22,2.14,2.12,15,6.80,2.93,4,3,,,,,,
Gangster,19,2.84,2.67,28,6.43,2.64,20,7.55,1.96,8,2,,,,,,
Gans,29,5.21,2.23,19,2.74,2.42,29,9.69,0.66,4,3,,,,,,
Garantie,26,6.96,1.80,24,2.58,2.19,23,4.57,2.83,8,1,,,,,,
Garde,27,4.52,2.41,26,2.38,2.59,21,6.10,3.22,5,1,,,,,,
Garderobe,29,5.55,2.37,27,1.93,1.92,12,7.67,3.23,9,3,,,,,,
Gardine,26,4.96,2.13,25,1.00,1.29,18,8.61,3.18,7,3,,,,,,
Garten,24,7.25,2.33,30,5.03,2.91,22,8.45,2.02,6,4,,,,,,
Gartenzaun,35,4.40,1.46,20,1.55,1.79,24,9.04,2.31,10,3,,,,,,
Gast,29,7.17,1.67,29,4.34,2.61,29,7.86,1.98,4,4,,,,,,
Gastgeber,24,6.75,1.51,29,3.28,2.17,19,6.63,2.01,9,3,,,,,,
Gaststätte,24,6.21,1.84,22,3.05,3.43,29,8.07,2.69,10,3,,,,,,
Gebäude,19,5.74,1.59,23,1.96,2.14,24,8.75,2.19,7,3,,,,,,
Gebet,22,4.00,3.04,34,3.21,2.92,27,6.07,3.52,5,1,,,,,,
Gebiet,22,5.45,1.47,28,2.29,2.43,27,6.04,2.74,6,1,,,,,,
Gebot,21,4.48,1.75,26,3.62,2.56,20,5.55,3.15,5,1,,,,,,
Geburtstag,25,7.28,2.72,25,4.64,2.80,28,7.14,3.12,10,4,,,,,,
Gedächtnis,30,7.27,1.91,21,3.71,1.93,25,5.64,3.29,10,4,,,,,,
Gedanke,27,6.81,1.52,21,4.67,3.28,18,4.11,3.41,7,4,,,,,,
Gedicht,29,6.97,2.51,30,3.27,2.36,27,7.81,2.59,7,3,,,,,,
Geduld,21,7.14,2.29,35,3.26,2.80,16,4.69,3.30,6,1,,,,,,
Gefahr,26,1.73,1.71,31,7.52,2.01,27,5.37,3.08,6,2,,,,,,
Gefährdung,29,3.00,2.38,25,7.28,1.77,26,4.62,2.53,10,2,,,,,,
Gefährte,15,7.80,2.27,20,4.65,2.23,19,6.89,2.45,8,4,,,,,,
Gefangenschaft,29,1.55,2.43,21,6.67,2.48,21,6.33,2.87,14,2,,,,,,
Gefängnis,28,1.61,1.83,25,5.48,3.08,12,7.83,2.48,9,2,,,,,,
Gefäß,24,5.54,1.82,14,2.07,2.70,11,8.64,2.66,5,3,,,,,,
Gefecht,21,2.14,2.39,24,5.42,2.95,20,5.80,3.14,7,2,,,,,,
Gefühl,23,7.13,2.36,35,6.74,2.55,24,4.08,3.13,6,4,,,,,,
Gegensatz,20,4.35,1.42,22,4.77,2.64,20,6.00,3.11,9,2,,,,,,
Gegenstand,24,5.08,1.72,27,1.52,1.45,24,5.00,3.34,10,1,,,,,,
Gegenteil,22,4.68,1.89,24,4.58,2.48,17,3.71,3.62,9,1,,,,,,
Gegner,30,3.97,2.57,31,7.00,2.92,17,6.24,3.46,6,2,,,,,,
Gehalt,22,7.00,2.83,27,4.48,2.24,24,5.96,3.34,6,4,,,,,,
Geheimnis,30,5.10,2.29,28,6.75,2.55,13,3.62,3.23,9,4,,,,,,
Gehirn,23,6.04,2.51,22,4.50,2.67,23,8.57,1.80,6,3,,,,,,
Gehirnwäsche,19,1.37,1.61,24,7.21,2.15,21,4.81,3.41,12,2,,,,,,
Gehorsam,20,4.60,2.80,16,3.69,2.21,19,3.68,2.94,8,1,,,,,,
Geisel,20,3.15,3.57,20,5.95,3.10,18,7.94,2.58,6,2,,,,,,
Geist,24,6.67,1.61,18,4.67,2.99,14,4.57,3.50,5,4,,,,,,
Gelände,23,5.61,1.37,30,1.57,1.50,19,7.32,2.50,7,3,,,,,,
Gelassenheit,26,7.69,2.19,31,1.74,1.73,27,5.78,2.75,12,1,,,,,,
Geld,34,6.59,1.94,20,5.80,2.55,23,8.65,2.66,4,4,,,,,,
Gelegenheit,29,6.45,2.08,25,4.28,2.49,23,3.26,3.26,11,1,,,,,,
Gelenk,25,5.12,2.20,26,3.62,2.93,24,7.83,2.66,6,3,,,,,,
Geliebte,32,6.09,3.46,21,7.43,2.23,28,8.18,1.91,8,4,,,,,,
Geltung,27,5.85,1.85,30,3.43,2.14,22,3.36,2.92,7,1,,,,,,
Gemälde,24,6.96,2.18,31,2.84,2.18,23,8.00,2.68,7,3,,,,,,
Gemeinde,30,5.40,2.33,20,2.40,2.56,17,6.29,2.69,8,1,,,,,,
Gemeinschaft,18,7.28,1.56,17,5.00,3.14,21,5.90,2.53,12,4,,,,,,
Gemisch,23,4.65,0.93,23,2.35,2.57,29,5.34,3.27,7,1,,,,,,
Gemüse,20,7.25,1.92,25,2.96,2.72,24,8.08,2.17,6,3,,,,,,
Gemüt,31,6.48,1.91,20,3.95,2.70,19,3.68,2.87,5,1,,,,,,
Gen,24,5.38,1.44,26,3.08,2.62,21,5.76,3.66,3,1,,,,,,
Genauigkeit,32,6.88,1.77,25,3.32,3.00,19,4.74,3.36,11,1,,,,,,
Genehmigung,22,5.27,2.64,18,2.67,2.50,25,5.00,3.45,11,1,,,,,,
Generation,18,6.17,1.86,22,3.50,2.58,18,5.28,3.43,10,1,,,,,,
Genie,27,6.78,2.21,37,5.97,2.49,18,5.33,3.03,5,4,,,,,,
Genießer,23,7.74,3.17,15,5.07,3.53,26,6.35,2.53,8,4,,,,,,
Genuss,24,8.42,2.47,29,6.24,2.94,27,5.30,2.33,6,4,,,,,,
Geometrie,20,4.75,1.77,28,1.07,1.39,25,6.24,2.15,9,1,,,,,,
Gepäck,28,4.96,1.50,24,3.25,2.56,15,8.93,1.10,6,3,,,,,,
Gepäckträger,22,5.18,1.68,21,1.57,1.89,16,7.81,3.60,12,3,,,,,,
Gerät,28,5.21,1.57,36,1.81,2.03,15,6.27,3.20,5,1,,,,,,
Gerechtigkeit,34,8.03,1.98,30,6.77,2.45,21,5.67,3.15,13,4,,,,,,
Gerede,32,3.59,2.61,32,4.22,2.61,18,4.33,2.22,6,1,,,,,,
Gericht,18,4.17,2.60,17,5.59,2.87,10,7.30,3.30,7,2,,,,,,
Gerichtshof,28,3.71,2.02,22,4.45,2.28,26,7.12,2.64,11,2,,,,,,
Geruch,21,5.00,2.19,32,5.50,2.55,19,6.84,2.97,6,4,,,,,,
Gerümpel,24,4.33,2.12,27,3.15,2.55,20,7.45,2.48,8,3,,,,,,
Gerüst,28,5.46,1.73,24,1.71,1.85,13,9.08,0.95,6,3,,,,,,
Gesang,23,6.91,2.37,25,5.40,2.74,26,6.73,2.82,6,4,,,,,,
Gesäß,25,4.84,2.08,41,3.66,2.83,19,8.95,1.78,5,3,,,,,,
Geschäft,35,5.03,1.93,26,2.35,2.15,15,7.80,2.31,8,3,,,,,,
Geschenk,21,8.43,1.89,16,6.19,2.93,29,8.10,2.38,8,4,,,,,,
Geschichte,27,6.11,1.76,32,3.63,2.24,18,4.39,3.09,10,1,,,,,,
Geschick,31,7.68,1.64,22,3.18,2.34,20,6.00,2.64,8,4,,,,,,
Geschirr,19,4.89,1.45,25,1.52,1.66,16,7.75,3.49,8,3,,,,,,
Geschlecht,23,5.22,1.86,24,4.54,2.83,24,6.92,3.08,10,4,,,,,,
Geschmack,19,6.89,1.41,33,4.76,2.54,24,5.21,3.46,9,4,,,,,,
Geschoss,19,4.05,2.63,18,5.17,3.42,25,6.64,2.56,8,2,,,,,,
Geschrei,33,3.09,2.38,32,7.09,2.83,31,6.87,2.68,8,2,,,,,,
Geschütz,19,1.58,1.46,27,4.48,2.98,19,6.42,2.89,8,2,,,,,,
Gesellschaft,22,6.55,1.99,25,3.60,2.60,26,5.08,2.15,12,1,,,,,,
Gesetz,29,5.72,2.25,21,5.62,2.85,19,6.53,2.89,6,4,,,,,,
Gesetzgebung,28,4.82,2.09,20,4.35,2.94,22,6.50,2.81,12,1,,,,,,
Gesicht,20,6.85,2.35,25,5.48,2.86,24,9.00,2.30,7,4,,,,,,
Gespenst,32,4.81,2.15,24,5.13,2.42,23,7.61,2.59,8,2,,,,,,
Gespräch,22,7.18,1.50,17,3.29,1.79,27,7.22,2.67,8,3,,,,,,
Gestaltung,19,6.95,1.75,29,4.00,2.65,18,5.06,2.48,10,4,,,,,,
Geständnis,22,5.18,2.22,31,5.68,2.95,21,6.00,3.03,10,4,,,,,,
Geste,20,6.55,1.39,23,3.35,2.92,23,5.26,3.24,5,1,,,,,,
Gestein,40,5.25,2.06,17,1.29,2.02,18,6.78,2.73,7,3,,,,,,
Gestirn,18,6.39,1.58,21,2.57,1.80,24,6.25,3.04,7,1,,,,,,
Gesundheit,19,8.16,2.24,25,4.84,2.59,19,5.16,2.99,10,4,,,,,,
Getränk,28,7.25,2.38,27,2.70,2.52,16,8.44,1.31,7,3,,,,,,
Getreide,26,6.35,2.37,22,1.23,2.02,20,8.75,1.83,8,3,,,,,,
Gewähr,27,4.96,1.95,18,1.89,2.45,25,4.64,3.78,6,1,,,,,,
Gewahrsam,23,2.26,1.84,26,4.62,2.86,26,5.19,2.87,9,2,,,,,,
Gewalt,27,2.22,2.97,25,7.32,3.08,16,5.56,3.72,6,2,,,,,,
Gewehr,27,2.41,2.36,21,5.62,3.04,27,9.11,2.03,6,2,,,,,,
Gewerbe,20,4.20,1.74,19,2.21,2.25,38,5.18,2.59,7,1,,,,,,
Gewicht,29,4.14,1.90,13,3.23,2.62,19,6.05,2.80,7,1,,,,,,
Gewinnung,20,6.10,1.86,31,3.52,2.73,18,4.22,2.88,9,1,,,,,,
Gewissheit,22,6.95,2.15,25,4.52,3.14,27,4.00,2.95,10,4,,,,,,
Gewitter,11,4.91,2.30,19,6.26,2.40,31,9.16,1.39,8,2,,,,,,
Gewohnheit,20,5.65,2.21,12,3.50,2.91,25,4.44,3.14,10,1,,,,,,
Ghetto,36,1.97,2.27,28,5.82,2.92,20,7.20,2.31,6,2,,,,,,
Gier,29,2.28,2.79,22,5.91,1.87,21,4.67,2.74,4,2,,,,,,
Gift,27,2.63,2.98,21,5.86,2.67,21,6.33,2.80,4,2,,,,,,
Gipfel,21,6.43,2.42,19,4.74,3.46,17,8.06,3.01,6,4,,,,,,
Gitarre,25,6.92,2.53,23,3.78,2.89,23,9.00,2.45,7,3,,,,,,
Gitter,12,2.33,1.72,21,3.00,2.12,19,8.68,1.06,6,3,,,,,,
Glas,38,6.03,1.90,18,1.67,1.91,24,8.88,1.48,4,3,,,,,,
Glatze,28,3.00,2.02,22,2.55,2.52,34,9.44,0.99,6,3,,,,,,
Glaube,23,6.04,2.42,25,4.04,2.82,28,2.50,2.59,6,1,,,,,,
Glaubwürdigkeit,23,6.26,2.60,23,5.48,2.56,22,3.14,2.88,15,4,,,,,,
Gleichheit,24,6.58,2.22,25,3.32,2.97,19,3.84,3.17,10,1,,,,,,
Gleichnis,23,5.91,2.04,18,2.89,2.11,29,5.66,3.03,9,1,,,,,,
